parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19008121,110412690,3,0,4734.0,local,110397253
19223115,110459170,2,0,2449.0,local,110360959
19308116,2481944221,2,1,2686.0,local,110360959
19109125,110412273,0,0,2438.0,local,110397253
19310115,110429434,4,0,2944.0,local,110397253
18815071,110450104,3,1,4531.0,local,110360959
19308132,2481944221,3,2,5287.0,local,110397253
19102132,110435308,1,0,2467.0,local,110360959
18815070,3387083180,3,3,4644.0,local,110397253
18810005,110396428,2,2,2563.0,local,110360959
19004240,110348323,3,4,4867.0,local,110360959
19117216,110392614,3,5,4809.0,local,110360959
19226106,110410670,0,1,2374.0,local,110360959
19115120,110348621,3,6,5276.0,local,110360959
18810038,110396428,2,3,2452.0,local,110360959
19221225,110392602,4,1,2569.0,local,110360959
19303035,110414616,5,0,5417.0,local,110397253
19209226,110383326,4,2,2794.0,local,110360959
19023232,110366323,4,3,2883.0,local,110397253
19016224,110438781,4,4,2602.0,local,110360959
19210223,110401282,2,4,2657.0,local,110397253
19009107,110392830,3,7,5252.0,local,110360959
19205232,3367883696,100,0,1000000.0,local,110397253
19016109,110460422,3,8,5288.0,local,110360959
19117208,110392614,5,1,5514.0,local,110360959
18814050,110367728,2,5,3191.0,local,110397253
19121115,110407258,3,9,4842.0,local,110397253
19308119,2481944221,5,2,5591.0,local,110397253
19208118,110383326,2,6,2921.0,local,110360959
19309221,110386918,4,5,2658.0,local,110360959
19204123,3367883696,4,6,2777.0,local,110360959
19122219,110388967,100,1,1000000.0,local,110397253
19309222,110451170,2,7,2952.0,local,110360959
19022222,110365449,4,7,2942.0,local,110360959
18814062,110367725,4,8,3363.0,local,110397253
19223218,110460424,2,8,2599.0,local,110397253
19215234,110438784,4,9,2702.0,local,110397253
19213233,110383328,3,10,4556.0,local,110360959
19217135,110392600,3,11,5391.0,local,110397253
19209227,110401286,3,12,5051.0,local,110360959
19106115,110422635,2,9,2581.0,local,110397253
19019131,2366744030,5,3,5024.0,local,110360959
19005233,3945189981,2,10,3125.0,local,110360959
19311213,110386925,3,13,5413.0,local,110360959
19110205,110412273,3,14,5088.0,local,110360959
18810035,110396428,3,15,5068.0,local,110397253
19203162,3401274918,4,10,3031.0,local,110360959
19222227,110454526,0,2,2749.0,local,110360959
19312117,110451170,3,16,4896.0,local,110360959
19022223,110392632,4,11,3298.0,local,110360959
19314207,110421540,0,3,1893.0,local,110360959
18815024,110393217,2,11,2935.0,local,110360959
19008130,110348362,5,4,5392.0,local,110397253
19219226,110460424,4,12,2775.0,local,110360959
19221212,110392602,4,13,2741.0,local,110397253
19203202,110382855,2,12,2870.0,local,110360959
19308122,2481944221,1,1,1997.0,local,110397253
19313236,110414599,3,17,4938.0,local,110397253
18815090,110450104,0,4,2565.0,local,110397253
19302025,110382886,100,2,1000000.0,local,110397253
18814054,110367728,0,5,2560.0,local,110360959
19313204,110421540,100,3,1000000.0,local,110397253
18815020,110393217,2,13,2594.0,local,110360959
19109120,110388963,100,4,1000000.0,local,110360959
19006217,110398036,3,18,4748.0,local,110397253
19020127,2366744030,4,14,3082.0,local,110397253
19007124,110455262,0,6,2439.0,local,110360959
18814012,110437088,2,14,3124.0,local,110397253
19312140,110386918,4,15,2894.0,local,110397253
19115217,110392620,0,7,2530.0,local,110397253
18810036,110396428,3,19,5031.0,local,110397253
19213210,110438785,3,20,5407.0,local,110360959
19219228,110392609,100,5,1000000.0,local,110397253
19120110,110407258,4,16,2680.0,local,110360959
19313343,110421520,4,17,2526.0,local,110397253
18810041,110396428,100,6,1000000.0,local,110397253
19314215,1900719912,3,21,5274.0,local,110360959
18814035,973221268,4,18,3289.0,local,110360959
19017119,312072227,2,15,2720.0,local,110360959
19206221,110401284,4,19,3153.0,local,110397253
19008122,110412690,4,20,2984.0,local,110360959
19307511,110393241,4,21,2958.0,local,110360959
19316221,110445895,2,16,3211.0,local,110397253
19311214,110394015,3,22,4914.0,local,110360959
19112116,110450444,100,7,1000000.0,local,110397253
19214117,110410673,2,17,3021.0,local,110360959
18815080,110393217,4,22,2665.0,local,110397253
19009209,110348362,0,8,2150.0,local,110360959
